,Location,X,Y
153,"26/3, Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Bangalore",12.943834,77.5676293
154,"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",28.5485253,77.2749852
155,"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore",12.9475382,77.5717431
156,"9/63, 1st C Main Road, Kathreguppe, Vivekananda Nagar, Banashankri, Bangalore",12.9330706,77.5528674
157,"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",12.9255818,77.5476948
158,"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, Bangalore",12.9331708,77.5838543
159,"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",12.9272892,77.5829898
160,"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",12.9277239,77.5599005
161,"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore",12.9098005,77.5480794
162,"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",12.9240652,77.5583083
163,"1328, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",12.9091756,77.5608782
164,"31, 2nd Cross, Teacher's Colony, JP Nagar Post, Dayanand College Road, Kumaraswamy Layout, Bangalore",12.9119459,77.5648019
165,"52, Dayanand Sagar College Road, Teachers Colony, Near ICICI Bank ATM, Bangalore East, Bangalore Urban Karnataka, Kumaraswamy Layout, Bangalore.",12.906918,77.557454
166,"359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore",12.9382822,77.5842836
167,"Shop 197, Ground Floor, Gokul Niwas, North Main Road, Rajyotsavanagar, 2nd Stage, Kumaraswamy Layout, Bangalore",12.9176507,77.5489879
168,"415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9233198,77.5678607
169,"433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore",12.9300227,77.5828448
170,"382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",12.9310332,77.5837626
171,"54, Sri Durga Avenue, 3rd Floor, 33rd Cross Road, Opp. Navarathan, Jewe, Jayanagar, Bangalore",12.9262139,77.5821038
172,"2nd Floor, Garla Garnet, 9th Main, 4th Block, Jayanagar, Bangalore",12.926596,77.5816743
173,"126, Near Ganesha Temple, 7th Main, 4th Block, Jayanagar, Bangalore",12.9292332,77.5801211
174,"6, Shakambari Nagar, 1st stage, JP Nagar, Bangalore",12.912107,77.5722881
175,"81, 36th Cross Road, 5th Block, Jayanagar, Bangalore",12.9232992,77.5791818
176,"616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore",12.9289748,77.5827245
177,"66/1, Kanakpura Road, Basavanagudi, Bangalore",12.9406093,77.5742767
178,"173, DSI college Road, Kumaraswamy Layout, Bangalore",12.9072339,77.5633803
179,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",12.9459724,77.5685328
180,"Satellite Bus Stand, KSRTC, Mysore Road, Bangalore",12.9524713,77.5414415
181,"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore",12.944213,77.5704191
182,"144/1, 2nd Main Road, 2nd Block, Thyagaraja Nagar, Basavanagudi, Bangalore",12.934074,77.5660474
183,"60/1, East Anjaneya Temple Road, Basavanagudi, Bangalore",12.9392481,77.5681993
184,"3/1 , Opposite Krishna Rao Park, Kanakapura Road, Basavanagudi, Bangalore",12.9418183,77.5730591
185,"335, KR Road, Shastri Nagar, Yediyur, Jayanagar, Bangalore",12.9317981,77.5712659
186,"1/A, 3rd Main, 7th Cross, Kattebalag, Narasimharaja Colony, Basavanagudi, Bangalore",12.9583874,77.5121983
187,"9, Canara Bank Colony, Opposite Chikkalsandra Post Office, Main Road, Uttarahalli, Bangalore",12.9087994,77.5470158
188,"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore",12.619139,76.818328
189,"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore",12.9280272,77.583017
190,"121, DVG Road, R.M Complex, Basavanagudi, Bangalore",12.9424235,77.5688654
191,"119, 5th Cross, Teachers Colony, Kumaraswamy Layout, Bangalore",12.9112199,77.5645541
192,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9239572,77.5643401
193,"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",12.9051954,77.5606649
194,"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore",12.9326402,77.5797844
195,"28th Main, 8th Block, Jayanagar, Bangalore",12.9202082,77.5734041
196,"Next To BMTC Bus Stand, Banashankari, Bangalore",12.9175832,77.5707206
197,"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",18.6713642,80.4494317
198,"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9244096,77.5631098
199,"13, 27th B Cross, 10th Main, Opposite BWSSB Water Tank, Geetha Colony, 4th Block, Jayanagar, Bangalore",12.9302698,77.5832269
200,"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore",12.9284022,77.5793476
201,"2/1,7th Main, Dwarakangar Hosakerehalli, Banashankari, Bangalore",12.9277922,77.5373103
202,"9/2, South End Main Road, Next to Surana College, Basavanagudi, Bangalore",12.9364259,77.5760811
203,"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore",12.95144,77.5751227
204,"433/30/1, 10th Main, 28th A cross, 4th Block, Jayanagar, Bangalore",12.9307705,77.582736
205,"14/38, Shivakrupa, 1st Model House Street, Near Nagasnadra Circle, DVG Road, Basavanagudi, Bangalore",12.9376074,77.569596
206,"147, 27th Cross, 3rd Main, 6th Block, Yediyur, Jayanagar, Bangalore",12.9310513,77.577341
207,"202F, 27th Cross Road, Opposite Sapna Book House, Jayanagar, Bangalore",12.9309256,77.5793314
208,"2, Ashoka Pillar Circle, 2nd Block, Jayanagar, Bangalore",12.9435316,77.5825658
209,"1349, 4th Cross Road, Kilkodungalur, RPC Layout, Vijay Nagar, Bangalore",12.958296,77.5333603
210,"2466, 24th Cross Road, Siddanna Layout, Stage II, Banashankari, Bangalore",12.9243543,77.5633883
211,"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore",12.9336048,77.5600695
212,"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",12.9226074,77.5515427
213,Near dayananda sagar college kumarswamy layout,12.906692,77.5622076
214,"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",12.933237,77.5810703
215,"#72, 3rd Cross DSI Road, Teachers Colony, Kumaraswamy Layout, Bangalore",12.911682,77.5648343
216,"8/10, Subramanyapura Main Road, Near Royal Mart, Uttarahalli, Bangalore",12.90749,77.544634
217,"287, 1st Floor, 7th Block, 100 Feet Ring Road, Phase 4, Banashankari, Bangalore",12.9064074,77.5956511
218,"23/1, Shop Street Road, Basavanagudi, Bangalore",12.9396936,77.5669929
219,"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",12.9379871,77.566539
220,"63, 18th Cross, 3rd Block, Jayanagar, Bangalore",12.934255,77.5785707
221,"24, Subramaniapura Main Road, Uttarahalli, Bangalore",12.9045527,77.5417395
222,"Next To Surana College, South End Circle, Basavanagudi, Bangalore",12.9365233,77.5762333
223,"318, Old market Road V.V.Puram, Basavanagudi, Bangalore",12.9505612,77.5762423
224,"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore",12.9268788,77.577129
225,"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore",12.9349008,77.5807533
226,"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore",12.9573053,77.5645198
227,"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",12.9411944,77.568259
228,"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore",12.9307262,77.5760825
229,"13, 32nd Cross, 7th Block, Jayanagar, Bangalore",12.9272012,77.5749983
230,"137/4, 8th Main Road, 27th Cross, Jayanagar, Bangalore",12.930953,77.5904721
231,"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore",12.9458824,77.5684229
232,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",12.9648597,77.5382253
233,"78, Nagendra Block, Giri Nagar, II Phase, Banashankari,Bangalore",12.9407143,77.5464965
234,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",12.9188263,77.5665463
235,"1328, 50 Feet Road, Stage 1, Kumaraswamy Layout, Bangalore",12.9091756,77.5608782
236,"23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore",12.943387,77.5749322
237,"534, 49th Cross, 50 Feet Road, Kumaraswamy Layout, Bangalore",12.9057527,77.5563644
238,"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore",12.9091289,77.5470277
239,"1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore",12.9309036,77.5389035
240,"2nd Cross, JHBCS Layout, Kumaraswamy Layout, Bangalore",12.9405813,77.5660053
241,"186, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9242188,77.5640109
242,"8th Main Road, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru",12.9255915,77.515776
243,"Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore",12.9359735,77.581644
244,"2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.9241497,77.5628674
245,"30, 8th F Main Road, Jayanagar, Bangalore",12.9313297,77.5813642
246,"2, Subramanyapura, Kadirenahalli Overbridge Junction, 2nd Stage, Banashankari, Bangalore",12.9049575,77.5306857
247,"278, 37th A Cross, 2nd Main, 8th Block, Jayanagar, Bangalore",12.9223467,77.5756742
248,"17,Bull Temple, Road, Basavanagudi, Bangalore",12.9474202,77.5657741
249,"1328, 50 Feet Road, Kumaraswamy Layout, Bangalore",12.9091756,77.5608782
250,"599, 24th Cross, 2nd Stage, Banashankari, Bangalore",12.924005,77.5660713
251,"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",12.9176039,77.5766592
252,"644, 1 B, Main Road, Kanakapura Road, 8th Block, Jayanagar, Bangalore",12.9275907,77.5735031
253,"23/35, 7th Cross, Dwarakanagar, Hosakerhalli, Banashankari, Bangalore",12.9344948,77.5323277
254,"30, 7th Cross, Dwaraka Nagar, Banashankari, Bangalore",12.928708,77.5598315
